fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia
20211007 013510	328	6	414	18	5	4523750
20211007 014756	135	17	197	20	5	5078750
20211007 015011	103	2	115	34	5	-43750
20211007 023614	485	12	245	30	5	4352500
20211007 030251	230	11	280	40	5	4451250
20211007 031327	293	14	499	8	5	5530000
20211007 031823	78	9	126	25	5	4068750
20211007 032154	403	4	310	3	5	42500
20211007 040948	423	20	375	29	5	4192500
20211007 041431	207	19	163	5	5	5118750
20211007 045328	440	8	321	42	5	4345000
20211007 054016	265	16	86	47	5	3543750
20211007 054223	182	2	381	16	5	41250
20211007 054759	25	0	36	48	5	-2096250
20211007 055311	37	15	457	38	5	3200000
20211007 060038	346	6	23	12	5	4432500
20211007 060801	478	17	460	2	5	4731250
20211007 061209	250	13	500	2	5	4196250
20211007 063001	313	16	400	15	5	5418750
20211007 064258	357	15	145	9	5	5433750
20211007 070829	500	14	390	14	5	5318750
20211007 072126	325	15	500	9	5	5470000
20211007 073451	277	14	303	13	5	4973750
20211007 074020	319	16	57	2	5	4888750
20211007 080701	434	18	124	16	5	4668750
20211007 082001	461	14	500	5	5	5350000
20211007 082138	2	19	500	10	5	2090000
20211007 084918	349	11	500	25	5	4865000
20211007 091058	366	14	500	16	5	5377500
20211007 091555	280	17	246	2	5	4668750
20211007 092853	374	14	443	9	5	5436250
