fecha	cp	minsplit	minbucket	maxdepth	feature_fraction	num_trees	xval_folds	ganancia
20211009 004451	-0.158936240597783	3599	878	17	0.189889222321411	57	5	4134375
20211009 010933	-0.210006537560063	3858	432	9	0.511787143411736	77	5	3918750
20211009 014543	-0.486239370464076	2323	795	16	0.313539302263719	87	5	2681250
20211009 020932	-0.574227355590362	7626	1280	9	0.376934329955839	36	5	2516666.66666667
20211009 022943	-0.66542445635229	4569	710	10	0.598640097817406	50	5	2137500
20211009 033831	-0.277544721165517	2721	1037	12	0.629524650378153	66	5	2578125
20211009 034312	-0.353565320605412	6112	274	5	0.731195171317086	18	5	3018750
20211009 035137	-0.91939431236339	4330	1662	7	0.758135996720133	24	5	2490625
20211009 040104	-0.806535864825128	7846	1488	15	0.126645226116913	73	5	1475000
20211009 040908	-0.999692059591568	3083	1371	3	0.296454676411425	94	5	1133333.33333333
20211009 042908	0.0555531498675312	4975	553	18	0.827704566763714	82	5	0
20211009 045719	-0.530203665810404	5585	1815	3	0.479025003376106	55	5	562500
20211009 050201	-0.256560646782357	6635	357	20	0.895732658860895	5	5	3310416.66666667
20211009 052733	-0.894212954545704	884	177	15	0.69335871989994	40	5	2840625
20211009 053315	-0.819485289541384	6699	118	8	0.238775923095333	34	5	1520833.33333333
20211009 053811	-0.717299071126035	5963	1510	14	0.548154586716555	11	5	4089583.33333333
20211009 055822	-0.395508999649125	7153	612	5	0.635946419672109	99	5	2559375
20211009 060626	0.0120509737171233	5105	38	13	0.416496083567229	9	5	0
20211009 063637	-0.688000605352378	4771	1856	16	0.707589561274896	66	5	1046875
20211009 064831	-0.950091055342151	7769	892	8	0.53955464179938	41	5	3012500
20211009 064940	-0.467352559223461	2375	515	4	0.356764815468341	6	5	2415625
20211009 071951	-0.383406877471134	1281	140	13	0.473396844416857	75	5	3346875
20211009 073826	0.0764716476590064	6269	1377	10	0.873267783100406	88	5	0
20211009 074456	-0.108267522288952	3306	1110	20	0.201272295260181	26	5	3495312.5
20211009 082813	-0.211299425655806	3883	468	20	0.136126061795023	50	5	1383333.33333333
20211009 084000	-0.148875019004187	7427	980	17	0.200105918414085	69	5	1035416.66666667
20211009 091735	-0.200342007344331	3583	1087	13	0.348049791856342	64	5	4977083.33333333
20211009 093242	0.0348337103062702	3534	818	12	0.770758820234824	63	5	0
20211009 101423	-0.523920089345472	3485	1497	7	0.570066800932959	60	5	3825000
20211009 101926	-0.485828554271697	6067	186	4	0.325144678413309	41	5	2762500
