fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	prob_corte	ganancia
20211010 174134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	261	TRUE	0.051109934192209	0.552288411014403	5782	608	0.631617671140702	0.0358005493210415	7451250
20211010 174631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	67	TRUE	0.0185865290238871	0.394922670326196	2255	487	0.729184197611175	0.0268863452169171	6722500
20211010 175015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	159	TRUE	0.0723083943667007	0.363643951520013	3348	588	0.521710280319288	0.0447739936691748	7658750
20211010 175151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	20	TRUE	0.0829018862955854	0.683893967924329	2657	826	0.188476617089085	0.0310611493723991	6900000
20211010 175317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	6	TRUE	0.0592784394472255	0.756553704539935	7857	722	0.285913814383093	0.0208087342604025	4521250
20211010 175620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	69	TRUE	0.0666310982016148	0.650217216469658	261	549	0.91292680814513	0.0338056065536512	7251250
20211010 175851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	125	TRUE	0.056049465087126	0.250201223619903	4113	1010	0.126782739243936	0.0377836634529619	6911250
20211010 180247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	260	TRUE	0.0646094968231046	0.818829529033974	6861	353	0.470934921700973	0.039630734675496	7581250
20211010 180354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	13	TRUE	0.0933806691056816	0.229085669573396	3300	245	0.827234165675084	0.0287410779162989	6313750
20211010 181245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	401	TRUE	0.0235402244044235	0.770922491621847	4653	677	0.618546833555835	0.0432419820089126	7828750
20211010 182558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	750	TRUE	0.0267612116140663	0.583109424837555	4863	336	0.239209096374301	0.0528717937718708	7568750
20211010 182749	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	58	TRUE	0.0884215375117492	0.875626231140147	5133	767	0.78576933676959	0.029723913311415	6758750
20211010 183213	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	192	TRUE	0.0536328768191743	0.416689630333955	1370	810	0.678993819242654	0.0496841375927033	7490000
20211010 183644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	209	TRUE	0.0412741880968679	0.308572406321764	847	187	0.115092012507375	0.0361119873760617	7586250
20211010 183909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	89	TRUE	0.0888472329327487	0.480380952218547	6288	19	0.395326691902786	0.0453053830834203	7256250
20211010 184835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	779	TRUE	0.0302577257552184	0.28286899853653	5545	70	0.856331983833419	0.047404350743891	7563750
20211010 185008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	5	TRUE	0.0997349593567196	0.504763571328173	1817	420	0.297489275942401	0.0232235858765974	6492500
20211010 185509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	321	TRUE	0.0368923811329296	0.943974890288276	7318	306	0.952272963215364	0.05099961571051	7628750
20211010 190338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	409	TRUE	0.013171154728625	0.624689919229907	7546	982	0.362349286966491	0.0479304706092808	7165000
20211010 190620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	14	TRUE	0.0349697363810265	0.906150382446746	1200	887	0.964158764138119	0.0227853808887206	6960000
20211010 191319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	267	TRUE	0.0160532113173394	0.99049567214679	3907	150	0.0502662937409089	0.0329025686953294	7291250
20211010 191606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	107	TRUE	0.0792669898056192	0.839531644519108	2757	899	0.0300816042096509	0.0417537461011186	7487500
20211010 191901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	61	TRUE	0.0742061887035379	0.731673615588807	665	141	0.44056935943081	0.053704039722749	7091250
20211010 192134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	20	TRUE	0.0453634459088789	0.439125156930337	6529	466	0.574229010138273	0.0252055121508117	5800000
20211010 192730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	124	TRUE	0.0391297218757798	0.97443000407823	2833	406	0.575475411578737	0.040955380635776	8010000
20211010 193424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	80	TRUE	0.0235006434651307	0.999290864004907	271	427	0.0861281269075102	0.0406817068039135	6746250
20211010 193924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	245	TRUE	0.0486964253803327	0.934920301626882	4215	303	0.78520786116543	0.0411644002019987	7616250
20211010 194816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	686	TRUE	0.0312956579738139	0.748894019421314	2743	23	0.507146019530366	0.0376289650746435	7913750
20211010 195209	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	154	TRUE	0.0654089725871889	0.998887526752967	2654	956	0.582820100415571	0.039294875387077	7831250
20211010 200051	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	488	TRUE	0.0397937754241414	0.994587316669481	5236	451	0.566897320798234	0.0494586551626785	7493750
20211010 200835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	338	TRUE	0.0300099135330133	0.618041366270299	2684	415	0.562679568778563	0.0402792804657148	7722500
20211010 201411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	266	TRUE	0.0563380603904207	0.999639806353132	2474	167	0.531659125347293	0.036136085282175	7460000
20211010 202616	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	603	TRUE	0.0373889607957567	0.980126777906239	3611	691	0.697975330642876	0.0375284114732324	7538750
