fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	prob_corte	lambda_l2	ganancia
20211011 015653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	210	TRUE	0.0685305291281215	0.458187638196562	2352	438	0.546823951964533	0.0391190899893991	1.3162569634317	7675000
20211011 020110	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	188	TRUE	0.0790745412988222	0.549459889910317	3673	331	0.177688890111832	0.032658380047651	2.44102948698648	7577500
20211011 020257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	64	TRUE	0.0854252280105304	0.885137220864583	5624	687	0.186848688346799	0.0298058934064466	3.75178542083761	6530000
20211011 020516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	30	TRUE	0.0502816328560169	0.515608399394634	6086	297	0.501364387022997	0.0244786157863564	1.20533819310367	5283750
20211011 021308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	410	TRUE	0.0323186018406081	0.746627161266016	5189	175	0.234402035221657	0.0469254147357424	1.96175825748859	8005000
20211011 021732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	220	TRUE	0.0277951161508515	0.969384012730526	7934	518	0.77923081994855	0.0382055123493774	3.44176958173713	7388750
20211011 022128	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	108	TRUE	0.0470936528999092	0.488226858892345	567	639	0.965712726598473	0.0426393470462062	2.8820570807771	7955000
20211011 022616	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	367	TRUE	0.0731247716174195	0.826931015441992	7103	884	0.429647119300041	0.0406290814955719	0.888643614889588	7801250
20211011 023128	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	316	TRUE	0.0407257729777068	0.362117547462029	5908	542	0.745784208494505	0.0502111705011339	0.411839577136561	7805000
20211011 023745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	440	TRUE	0.0616250541271542	0.31439510680336	1660	989	0.289150824063524	0.0266630455228733	3.13739716312349	7511250
