Feature	Gain	Cover	Frequency
ctrx_quarter	0.132364317895553	0.0152748150551892	0.00836474600610304
V40	0.0436405789357172	0.00290615073545248	0.00140010770059235
cpayroll_trx	0.0310291952652206	0.00854611386248948	0.00258481421647819
V36b	0.027098604437272	0.00320484562280568	0.00287201579608688
ctarjeta_visa_transacciones	0.0261054556665887	0.00446896399885939	0.00323101777059774
V5	0.0255067002468756	0.00479720411442916	0.00463112547119009
V28	0.0230059332878874	0.0152989762159373	0.00376952073236403
mtarjeta_visa_consumo	0.0221614561999604	0.00682669264247512	0.00351821935020643
mcuentas_saldo	0.0181073406852426	0.00871216684473085	0.00951355232453779
V7	0.0177133062451945	0.0144700699602536	0.00509782803805421
mprestamos_personales	0.0159676482323864	0.0142212290415241	0.00560043080236941
mcaja_ahorro	0.0155572312864157	0.00615737074689378	0.00531322922276073
mactivos_margen	0.0119795591661587	0.0133810562139062	0.0118111649614073
V89b	0.0104147757094676	0.002810285739554	0.0056363309998205
V40b	0.00898058248674898	0.00141163992889208	0.00122060671333692
V23	0.00894489062212725	0.00117898438904014	0.00089750493627715
V6	0.00892996605212869	0.00687649210689469	0.00664153652845091
mvr_msaldopesos	0.00833714622107795	0.00331748843458309	0.00366182014001077
mtransferencias_recibidas	0.00818390026162117	0.00983374803791777	0.00861604738826064
mv_status01	0.00792661050245309	0.00746960369653516	0.00262071441392928
Master_fechaalta	0.00773900468179998	0.00814752777737646	0.0145754801651409
Visa_status	0.0069160198606011	0.00828197227080447	0.00218991204451625
cliente_edad	0.0068373906306058	0.0163310109513244	0.0157960868784778
mrentabilidad_annual	0.00677319950489752	0.00995089732048564	0.0103751570633638
cproductos	0.00675541045513917	0.00670508033449688	0.00592353257942919
mvr_msaldototal	0.00637166124206991	0.00351064975417538	0.00351821935020643
V4	0.00635006224555315	0.00446451914151708	0.00290791599353797
chomebanking_transacciones	0.00633113260546618	0.013252555838392	0.0117393645665051
V106	0.00624712890392391	0.00090379424223749	0.00197451085980973
V101	0.00622708168839314	0.00353127920047925	0.00534912942021181
V70b	0.00620350771086199	0.00143167456844657	0.00165140908274996
numero_de_cliente	0.00606336955413557	0.0101688383050554	0.0136779752288638
mv_msaldototal	0.00578784724428044	0.00206448970608719	0.00251301382157602
Visa_fechaalta	0.00578269069931834	0.00520845097321957	0.0102674564710106
V101b	0.00554025545831954	0.00241990451195202	0.00387722132471729
mv_fechaalta	0.00528382805254197	0.00801678325050103	0.0100520552863041
V102	0.00508589719662666	0.00680175736404525	0.0111649614072877
V17	0.00503885905045509	0.00359201900152421	0.00132830730569018
mv_mpagominimo	0.00498855109732918	0.00272369672726505	0.00287201579608688
tcallcenter	0.00474390557418977	0.00315687639376235	0.00215401184706516
mcuenta_debitos_automaticos	0.00473257410187482	0.00708354804895922	0.00499012744570095
V53	0.00438476772758158	0.0021436100625788	0.00416442290432597
mv_status02	0.00428377786905226	0.00734803404402102	0.00208221145216299
thomebanking	0.00417034827948213	0.00326586584403129	0.0038413211272662
V109b	0.00412108005225401	0.0025824739646253	0.00140010770059235
V50	0.00403305521373746	0.00370596201504065	0.00822114521629869
V20	0.0040167528316493	0.000493135080952448	0.000753904146472806
V21	0.00400545423778828	0.00303915284226114	0.00147190809549453
Visa_Fvencimiento	0.00395802055313878	0.00504609005837076	0.00865194758571172
ccallcenter_transacciones	0.00387760536269726	0.00622917332154442	0.00305151678334231
V102b	0.00382379673958494	0.00429939352066186	0.00804164422904326
V74	0.00376602776766122	0.000911864024112218	0.00157960868784778
Master_mfinanciacion_limite	0.0037559219622831	0.00666777813114231	0.00915455035002693
V107b	0.00368936196463625	0.00384267040772992	0.00341051875785317
Master_Fvencimiento	0.00360231216588636	0.00648012963532683	0.00936995153473344
V49	0.00353057601919121	0.00455415722957311	0.00771854245198349
V73b	0.0033759058320323	0.0059445184012078	0.00240531322922276
V55	0.0032061285421001	0.00624309796082473	0.00646203554119548
V54b	0.00320059901268418	0.00313383217424087	0.00700053850296177
mv_msaldopesos	0.00316189309654804	0.00196820921437174	0.00186681026745647
V46	0.0031000228910001	0.00634241409973522	0.00430802369413032
V104	0.00309454186492163	0.00491805810304563	0.00660563633099982
mpasivos_margen	0.00307769582022154	0.00290446742445257	0.00516962843295638
cliente_antiguedad	0.00303946481320452	0.003395871799445	0.00728774008257045
mv_Fvencimiento	0.0030380677892366	0.0032283400944482	0.00739544067492371
V50b	0.0030174427873111	0.00328143587834343	0.00721593968766828
V111	0.00301018817739147	0.00302026516074131	0.00509782803805421
V48	0.00294658805741861	0.0015638393642933	0.00107700592353258
mtransferencias_emitidas	0.00293136094878989	0.0112648823038191	0.00674923712080416
V13	0.0028636325366515	0.00387204264434208	0.00674923712080416
Master_mlimitecompra	0.00284292081943202	0.00691749111713784	0.00667743672590199
V12	0.00275330919706485	0.00305099526296063	0.00355411954765751
ccajas_otras	0.00267474988398759	0.0129556216738069	0.0025489140190271
V10	0.00264729923053975	0.00323650308641115	0.00315921737569557
mvr_msaldopesos2	0.00264070309468736	0.00454910571674138	0.00581583198707593
V33b	0.0026386525029373	0.00395799735408156	0.00351821935020643
V11b	0.00263589889115144	0.00388643175423148	0.00545683001256507
V84b	0.00260444224716241	0.00280751787388358	0.00581583198707593
V56	0.00260119032840216	0.00491058233800428	0.00646203554119548
ccuenta_debitos_automaticos	0.00259931136861938	0.00291572135773069	0.00244121342667385
mvr_mpagominimo	0.00257289833912027	0.00359038940481243	0.00376952073236403
V103	0.00256426353959683	0.00479557372780138	0.00610303356668462
V52b	0.00255589172132053	0.00288434984371788	0.00606713336923353
ccomisiones_otras	0.00253774985112747	0.00189710334563472	0.00337461856040208
V52	0.00252253456072377	0.00262662947921178	0.00466702566864118
mv_fultimo_cierre	0.00252106385598869	0.0150089316987201	0.00556453060491833
ccaja_ahorro	0.00248151285139521	0.0140964191535704	0.00366182014001077
V32	0.00246958839859847	0.00522039529308329	0.0012924071082391
V54	0.00245387550306698	0.00963568370970211	0.0051337282355053
V47	0.00241947886173447	0.00389898746908061	0.00463112547119009
Visa_mconsumosdolares	0.00240183047538156	0.00227681359796794	0.00420032310177706
V112	0.00239349764128796	0.00249630281790132	0.00455932507628792
V91b	0.00236559816792528	0.00256852009845292	0.00527732902530964
V37b	0.00234101054606146	0.00471144609377414	0.00509782803805421
mplazo_fijo_dolares	0.00233991398039285	0.0176737796838486	0.00366182014001077
Visa_mpagospesos	0.00233467631863018	0.00580255627719034	0.00567223119727159
Visa_mfinanciacion_limite	0.00224300989894495	0.00236545876160966	0.00531322922276073
V83	0.00222497144347402	0.002575019527316	0.00470292586609226
mrentabilidad	0.00222054851199605	0.0019668126428805	0.00405672231197272
mtarjeta_master_consumo	0.00220095251708941	0.00568820487710096	0.0022976126368695
V45b	0.00217625132914639	0.00477562360925908	0.00423622329922815
V106b	0.00212001579254341	0.00111986865529495	0.00272841500628253
V85b	0.00209195796794173	0.00177337090310757	0.00481062645844552
V91	0.00207178380822551	0.00252687809658428	0.00477472626099444
Visa_mpagominimo	0.00199822937888417	0.00148225762953996	0.00236941303177167
V11	0.00197882464739853	0.00295529377967453	0.00402082211452163
Visa_mlimitecompra	0.00196278870834913	0.00210751722062304	0.00466702566864118
V80b	0.00196187440987979	0.00370307329222194	0.00484652665589661
ccaja_seguridad	0.00195408610052843	0.010778797223183	0.00305151678334231
V70	0.00192384385821229	0.0162341798881556	0.00412852270687489
V22	0.00190218067433636	0.00151992556400338	0.000753904146472806
mvr_Master_mlimitecompra	0.00190010282533068	0.00357251044602694	0.00452342487883683
Visa_msaldototal	0.00188949438848338	0.000815011633211447	0.00168730928020104
V103b	0.0018748777484975	0.00216023147508938	0.00402082211452163
V15	0.00186648217529173	0.00185000934352143	0.00455932507628792
mv_cconsumos	0.00185523035810091	0.00315876666275474	0.00190271046490756
V100c	0.00184756754770919	0.00286084589308334	0.00509782803805421
V62	0.0018408257429811	0.0013425767829358	0.00445162448393466
V80	0.00182978069592839	0.00393372481517723	0.00412852270687489
V34b	0.00177935366549117	0.00246273296765541	0.00427212349667923
Visa_cconsumos	0.00177137493412562	0.00338239899211774	0.00366182014001077
mcomisiones_otras	0.00173725921702256	0.00181662038403994	0.00355411954765751
V8	0.00173004654140957	0.00556817872045441	0.0038413211272662
V69	0.00172596567958713	0.00248497937201504	0.00463112547119009
V83b	0.00171196887943169	0.00227134816915125	0.00341051875785317
V112b	0.00170403160993151	0.00170999673219649	0.00362591994255968
ctarjeta_debito_transacciones	0.00167814337770405	0.00490750877484115	0.00265661461138036
V45	0.0016706059350273	0.00264129742944982	0.00477472626099444
V86b	0.00165710277189103	0.00121269405441837	0.00373362053491294
mpagomiscuentas	0.00165190072655583	0.00920093842968917	0.00366182014001077
V96b	0.00164903770577539	0.001036297122133	0.00197451085980973
mcuenta_corriente	0.00162801216439308	0.0013326688665248	0.00272841500628253
V92b	0.0016140561754657	0.00307560825566175	0.00391312152216837
V89	0.00160507219814691	0.00313445383813432	0.00430802369413032
V34	0.00158932241911203	0.00168610177314104	0.00341051875785317
V108b	0.00158461767249527	0.00284326868221054	0.00348231915275534
V82b	0.00157477649959366	0.00138492891929009	0.0038413211272662
