fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211011 212658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	86	TRUE	0.0612522357539274	0.351933666075638	3195	553	0.0286143427801946	1	8159499.9583875
20211011 213010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.051756157343043	0.591843816509936	3437	341	0.0307621711597967	2	7642124.9601625
20211011 213425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	137	TRUE	0.0349920141138136	0.740994553991186	2552	941	0.0341549327165053	3	8140749.9539875
20211011 213621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.0810390801657923	0.460921947291354	4519	161	0.0303563994298826	4	7928124.9580875
20211011 213750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.0465563828125596	0.118468318477971	1506	510	0.0315673412512115	5	8025624.95625
20211011 214146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0447166028048378	0.522872231782821	6495	253	0.0327315449633654	6	7935999.955925
20211011 215214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.0376079310523346	0.672727746400051	3761	704	0.0328653859014451	7	8228124.9554375
20211011 215457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.0681480626401026	0.308211445590132	4835	430	0.0318222763697246	8	7938124.956625
20211011 215701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.0743804030423053	0.927799253194826	1795	771	0.0353573766873646	9	7841624.9551125
20211011 215919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0253712795616593	0.168318275894853	4137	896	0.0304944892857616	10	7976874.9582625
20211011 220133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.0585364302096423	0.977227179573674	6135	585	0.0324936055137121	11	7996249.9573125
