fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211012 134821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	94	TRUE	0.0331446012349722	0.557897338652401	3560	512	61	138	0.0296043408115949	1	7421874.96335
20211012 143608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	419	TRUE	0.0326889744617899	0.772984647787719	4068	457	49	71	0.0301609491614078	2	7626874.9612625
20211012 173302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	94	TRUE	0.0331446012349722	0.557897338652401	3560	512	61	138	0.0296255854048397	2	7411874.963225
20211012 174249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	679	TRUE	0.0326889744617899	0.772984647787719	4068	457	49	71	0.0288777757281451	3	7603124.9616
20211012 183515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	493	TRUE	0.0300681880316794	0.541468196148829	3262	787	9	80	0.0397677542547648	4	8274374.953
20211012 184254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	74	TRUE	0.0298579594268619	0.405723932057542	1517	350	68	61	0.0331946770784697	5	7443124.9608375
20211012 185039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	341	TRUE	0.02772634053824	0.358934677796788	5021	633	2	44	0.0283721544225146	6	8116124.957725
20211012 185306	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	83	TRUE	0.0285261247653398	0.285637842031429	1870	123	58	146	0.0322046790307111	7	7405749.9615
20211012 185651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	215	TRUE	0.0355101289524076	0.230038413775037	4232	670	42	112	0.0324128760479096	8	7767624.9606
20211012 190006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	134	TRUE	0.0319792156041367	0.333061798703663	3319	923	75	9	0.0330502138410057	9	7396874.96175
20211012 190234	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	83	TRUE	0.0379323104739306	0.721581989363767	1021	169	53	159	0.029245307186607	10	7522124.9631
20211012 190534	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	99	TRUE	0.0289171837401712	0.389297978245304	5427	433	76	38	0.0296723235101908	11	7236874.9632375
20211012 190802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	94	TRUE	0.0369530735872783	0.642083331668012	3937	956	91	133	0.026914775302125	12	7333249.9646125
20211012 191456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	297	TRUE	0.0320492328594749	0.84557614721513	2620	218	23	155	0.036032954751913	13	8111374.956175
20211012 192057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	200	TRUE	0.0250459376801058	0.678983634567703	2408	396	7	22	0.0338617573276021	14	8168124.9545
20211012 192345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	113	TRUE	0.0307623658744366	0.896734272847728	4705	834	98	122	0.032884506013696	15	7317624.9620375
20211012 192807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	255	TRUE	0.0362564232823303	0.732487840315055	4654	330	65	54	0.0306113345369236	16	7442124.9624125
