fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211013 184726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	1	8071124.95865
20211013 190813	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	1	8071124.95865
20211013 194745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	2	8071124.95865
20211013 202713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	180	TRUE	0.0263423388139677	0.785192110774141	2797	184	11	23	15	0.0345925713326751	3	8090874.9554625
20211013 211540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	129	TRUE	0.0343098101069086	0.792979681251704	1955	371	6	80	14	0.0284146435988069	4	8150624.96085
20211013 220315	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	5	8071124.95865
20211013 221541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	180	TRUE	0.0263423388139677	0.785192110774141	2797	184	11	23	15	0.0345925713326751	6	8090874.9554625
20211013 222056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	129	TRUE	0.0343098101069086	0.792979681251704	1955	371	6	80	14	0.0284146435988069	7	8150624.96085
20211013 225951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	146	TRUE	0.0306033399224148	0.751250210692025	2432	416	2	35	20	0.0325998284829105	8	8324874.955875
20211013 231236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	206	TRUE	0.0286097118857766	0.69219908237266	2850	487	17	11	7	0.027926017952901	9	8021874.961
20211013 233351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	265	TRUE	0.0275768705765451	0.765022176863193	2619	665	18	37	17	0.031622577190249	10	8005874.9574875
20211013 235732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	175	TRUE	0.030555080523307	0.821967218863928	2495	782	11	59	9	0.0264049050755087	11	7944499.9612
20211014 002148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	130	TRUE	0.034142296335793	0.686542221307588	2147	160	9	62	13	0.0294768732661473	12	8019499.9592875
20211014 004729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	210	TRUE	0.0364506650142638	0.646035562985094	3260	689	13	57	8	0.0261627167137922	13	8091999.9606375
20211014 011234	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	187	TRUE	0.0329964883080933	0.611754120134449	2205	594	12	44	6	0.028115094835117	14	7950624.9599625
20211014 013828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	214	TRUE	0.0328209322652879	0.635507549320298	3197	319	4	31	11	0.0367425241713892	15	8268124.9542625
20211014 021008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	286	TRUE	0.0270391031674891	0.583288566345748	3246	534	10	67	16	0.0337257919257365	16	7964374.95615
20211014 074247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	17	8071124.95865
20211014 075124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	180	TRUE	0.0263423388139677	0.785192110774141	2797	184	11	23	15	0.0345925713326751	18	8090874.9554625
20211014 075523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	129	TRUE	0.0343098101069086	0.792979681251704	1955	371	6	80	14	0.0284146435988069	19	8150624.96085
20211014 080026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	146	TRUE	0.0306033399224148	0.751250210692025	2432	416	2	35	20	0.0325998284829105	20	8324874.955875
20211014 080455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	206	TRUE	0.0286097118857766	0.69219908237266	2850	487	17	11	7	0.027926017952901	21	8021874.961
20211014 081158	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	265	TRUE	0.0275768705765451	0.765022176863193	2619	665	18	37	17	0.031622577190249	22	8005874.9574875
20211014 081722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	175	TRUE	0.030555080523307	0.821967218863928	2495	782	11	59	9	0.0264049050755087	23	7944499.9612
20211014 082138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	130	TRUE	0.034142296335793	0.686542221307588	2147	160	9	62	13	0.0294768732661473	24	8019499.9592875
20211014 082622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	210	TRUE	0.0364506650142638	0.646035562985094	3260	689	13	57	8	0.0261627167137922	25	8091999.9606375
20211014 083143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	187	TRUE	0.0329964883080933	0.611754120134449	2205	594	12	44	6	0.028115094835117	26	7950624.9599625
20211014 083735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	214	TRUE	0.0328209322652879	0.635507549320298	3197	319	4	31	11	0.0367425241713892	27	8268124.9542625
20211014 084702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	286	TRUE	0.0270391031674891	0.583288566345748	3246	534	10	67	16	0.0337257919257365	28	7964374.95615
20211014 093529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	29	8071124.95865
20211014 094358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	180	TRUE	0.0263423388139677	0.785192110774141	2797	184	11	23	15	0.0345925713326751	30	8090874.9554625
20211014 094753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	129	TRUE	0.0343098101069086	0.792979681251704	1955	371	6	80	14	0.0284146435988069	31	8150624.96085
20211014 095251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	146	TRUE	0.0306033399224148	0.751250210692025	2432	416	2	35	20	0.0325998284829105	32	8324874.955875
20211014 095726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	206	TRUE	0.0286097118857766	0.69219908237266	2850	487	17	11	7	0.027926017952901	33	8021874.961
20211014 100415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	265	TRUE	0.0275768705765451	0.765022176863193	2619	665	18	37	17	0.031622577190249	34	8005874.9574875
20211014 100933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	175	TRUE	0.030555080523307	0.821967218863928	2495	782	11	59	9	0.0264049050755087	35	7944499.9612
20211014 101429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	130	TRUE	0.034142296335793	0.686542221307588	2147	160	9	62	13	0.0294768732661473	36	8019499.9592875
20211014 101939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	210	TRUE	0.0364506650142638	0.646035562985094	3260	689	13	57	8	0.0261627167137922	37	8091999.9606375
20211014 102451	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	187	TRUE	0.0329964883080933	0.611754120134449	2205	594	12	44	6	0.028115094835117	38	7950624.9599625
20211014 103044	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	214	TRUE	0.0328209322652879	0.635507549320298	3197	319	4	31	11	0.0367425241713892	39	8268124.9542625
20211014 104116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	286	TRUE	0.0270391031674891	0.583288566345748	3246	534	10	67	16	0.0337257919257365	40	7964374.95615
20211014 121916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	41	8071124.95865
20211014 122913	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	180	TRUE	0.0263423388139677	0.785192110774141	2797	184	11	23	15	0.0345925713326751	42	8090874.9554625
20211014 123353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	129	TRUE	0.0343098101069086	0.792979681251704	1955	371	6	80	14	0.0284146435988069	43	8150624.96085
20211014 123857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	146	TRUE	0.0306033399224148	0.751250210692025	2432	416	2	35	20	0.0325998284829105	44	8324874.955875
20211014 124339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	206	TRUE	0.0286097118857766	0.69219908237266	2850	487	17	11	7	0.027926017952901	45	8021874.961
20211014 125026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	265	TRUE	0.0275768705765451	0.765022176863193	2619	665	18	37	17	0.031622577190249	46	8005874.9574875
20211014 125630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	175	TRUE	0.030555080523307	0.821967218863928	2495	782	11	59	9	0.0264049050755087	47	7944499.9612
20211014 130159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	130	TRUE	0.034142296335793	0.686542221307588	2147	160	9	62	13	0.0294768732661473	48	8019499.9592875
20211014 130701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	210	TRUE	0.0364506650142638	0.646035562985094	3260	689	13	57	8	0.0261627167137922	49	8091999.9606375
20211014 131439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	187	TRUE	0.0329964883080933	0.611754120134449	2205	594	12	44	6	0.028115094835117	50	7950624.9599625
20211014 132225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	214	TRUE	0.0328209322652879	0.635507549320298	3197	319	4	31	11	0.0367425241713892	51	8268124.9542625
20211014 133305	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	286	TRUE	0.0270391031674891	0.583288566345748	3246	534	10	67	16	0.0337257919257365	52	7964374.95615
20211014 142107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	201	TRUE	0.0313680532708365	0.628483286264985	3024	359	7	73	8	0.0300504772867321	53	8071124.95865
20211014 143153	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	180	TRUE	0.0263423388139677	0.785192110774141	2797	184	11	23	15	0.0345925713326751	54	8090874.9554625
20211014 143547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	129	TRUE	0.0343098101069086	0.792979681251704	1955	371	6	80	14	0.0284146435988069	55	8150624.96085
