fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211014 191432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	63	TRUE	0.0591880201282246	0.31404532617723	6439	401	7	73	8	0.0265748617451992	1	1131124.988275
20211014 191509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	85	TRUE	0.0282605465474938	0.74143302938402	5160	179	11	23	15	0.0432858588910106	2	6870624.9545
20211014 191531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	25	TRUE	0.0772911391194378	0.762671857959192	414	415	6	80	14	0.0502115962968996	3	6002624.9530625
20211014 191554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	14	TRUE	0.0544820918302451	0.64886421097825	3104	473	2	35	20	0.035272398311836	4	7835749.9566
20211014 191614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	44	TRUE	0.0422136116047789	0.487815679198164	5458	563	17	11	7	0.00702558699583924	5	681374.9970625
20211014 191636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	41	TRUE	0.0358576650864312	0.6864241187178	4160	789	18	37	17	0.0395000723711696	6	6986749.9550125
20211014 191659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	44	TRUE	0.0541851109126583	0.841728778719802	3456	938	11	59	9	0.0368657427484755	7	1779499.9730375
20211014 191717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	34	TRUE	0.0762602851433413	0.472387876293422	1495	148	9	62	13	0.0501563603519137	8	5573624.953
20211014 191746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	115	TRUE	0.0904656308570078	0.36191517177753	7772	820	13	57	8	0.0191987389591207	9	953374.9874125
20211014 191800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	27	TRUE	0.0692091588190358	0.268420327639407	1821	699	12	44	6	0.00297211859962614	10	328124.9985875
20211014 191815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	18	TRUE	0.0681288139402334	0.333202407237176	7419	350	4	31	11	0.0499396654799967	11	3320999.9575625
20211014 191841	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	90	TRUE	0.0325483271845483	0.190786999124768	7690	622	10	67	16	0.0395255658769024	12	6823874.9572625
20211014 191904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	39	TRUE	0.0467763687384182	0.227856700095747	1519	736	12	47	19	0.0355910672060471	13	7863249.9577625
20211014 191921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	25	TRUE	0.0953494817384386	0.908569974739138	6070	205	15	19	15	0.0444925517892292	14	6682124.9542
20211014 191938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	26	TRUE	0.0979648490522855	0.538510552934271	840	849	14	76	13	0.0507214665347756	15	5455624.9550625
20211014 192004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	TRUE	0.0501424960499363	0.80437001351633	131	286	1	26	12	0.056062357280351	16	4474499.95265
20211014 192030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	71	TRUE	0.0390515373880044	0.560309942598022	4702	249	20	70	9	0.0376432948631484	17	1725749.972475
20211014 192058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	52	TRUE	0.0204672412421288	0.600382833097995	2149	21	0	86	18	0.0386205462116832	18	7566999.9555625
20211014 192114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	27	TRUE	0.086950474003596	0.418385827002515	5874	911	5	10	14	0.0470992633816451	19	6159499.954125
