Feature	Gain	Cover	Frequency
E1026_135	0.246010387208993	0.193733290695754	0.1453125
E1027_1	0.216179385000079	0.155000619889619	0.0875
E1028_4	0.132468216879683	0.0294234277054122	0.0375
E1026_38	0.0881930784663537	0.0446437321040053	0.0546875
E1028_31	0.0860307444286935	0.0271430146247107	0.0359375
E1028_150	0.0745452236188576	0.015342455443677	0.0109375
E1026_84	0.0383151413900739	0.063104716376297	0.0453125
E1026_1	0.0278378332836807	0.0402122395878062	0.046875
E1028_102	0.0253591548005978	0.057765624263198	0.0328125
E1029_8	0.0246574648352206	0.0126929816315932	0.028125
E1029_1	0.0135161852849903	0.041326588767725	0.0328125
E1026_7	0.00876195502917189	0.0457592679743787	0.0484375
E1029_3	0.00872625528456102	0.011024697838943	0.0046875
E1028_38	0.00357704923482886	0.0267231448046536	0.040625
numero_de_cliente	0.00163134972903159	0.0955046916431697	0.0921875
canarito3	0.00097106188171706	0.0267937372723545	0.0484375
canarito1	0.00080227201863849	0.0260841119948485	0.0640625
canarito2	0.000709345287690674	0.0176275528288046	0.0453125
E1028_44	0.000508853932890169	0.00979834694019673	0.009375
E1028_50	0.000482921328591997	0.0149992989157709	0.0109375
E1028_1	0.000269704963764147	0.0140384700062426	0.0234375
E1028_2	0.000163661674405844	0.00907875970861128	0.015625
canarito4	0.000162953367302728	0.0130817476702612	0.0203125
E1028_69	0.000101812281502977	0.00748912538727487	0.0140625
E1029_4	1.79887886789623e-05	0.00160835592469262	0.0046875
