Feature	Gain	Cover	Frequency
ctrx_quarter	0.197670532172154	0.0560665143466518	0.0223632038065028
V16	0.130913561312865	0.00827752645871525	0.00111022997620936
V135	0.0474650060199603	0.0095243118444147	0.00269627279936558
V133i	0.0464417614801351	0.00140201402638325	0.000158604282315623
V48	0.0373483165124619	0.000331211621076797	0.00063441712926249
V168	0.0232061342276734	0.030253727283425	0.00412371134020619
mcuentas_saldo	0.0130036991683664	0.0192094221652273	0.0225218080888184
V101b	0.0127545067214255	0.00300109896730719	0.0034892942109437
V168i	0.0120519420635192	0.0210883928400483	0.00269627279936558
mactivos_margen	0.0118757219404191	0.00956173399196154	0.00666137985725615
V153	0.0118451023463292	0.00226464158798196	0.00206185567010309
mvr_msaldototal	0.0108050222457348	0.00513361928651465	0.00428231562252181
V29	0.0107053810933581	0.00424363102391583	0.00301348136399683
V30	0.0101669586441992	0.00504479381022191	0.000793021411578113
mtarjeta_visa_consumo	0.00881463712171037	0.0107742127638879	0.00904044409199049
mv_status01	0.00867706681174036	0.00296072808320579	0.00253766851704996
V138	0.00866532845493602	0.00866992883108163	0.00111022997620936
V106	0.00820231136940912	0.000310290484148349	0.00063441712926249
mprestamos_personales	0.00806239077353054	0.00434939237500571	0.00333068992862807
V179	0.0074138532125284	0.0162271355414338	0.00555114988104679
ccallcenter_transacciones	0.00688959150072194	0.00297332127325896	0.00190325138778747
mrentabilidad_annual	0.0068554897530304	0.00436096095356922	0.00475812846946868
V58	0.0067126649893133	0.000821869469666931	0.00206185567010309
cproductos	0.00669079851420071	0.00554427404030152	0.00333068992862807
Visa_status	0.0065812384726697	0.00648442656658897	0.00206185567010309
V6	0.00617482432838532	0.0226963418617665	0.0106264869151467
mv_msaldototal	0.00613254491148757	0.00213254414738164	0.00253766851704996
mcaja_ahorro	0.006054605112334	0.00173091431456476	0.00253766851704996
V123i	0.00563325534773919	0.000119885501334002	0.000158604282315623
tcallcenter	0.00544982108853249	0.00321623163787494	0.00237906423473434
Master_fechaalta	0.00536064174713232	0.024343446530703	0.015543219666931
V163	0.00490771948875385	0.00309418372973427	0.00459952418715305
V127i	0.00464171485117291	0.00584182836535163	0.0077716098334655
thomebanking	0.00460648068946665	0.00241021386108005	0.00301348136399683
V159	0.0044242841218546	0.00470922163327051	0.00190325138778747
mv_status02	0.00432459750020205	0.00557961717965132	0.00158604282315623
mcuenta_debitos_automaticos	0.00430382978714756	0.00547548805849264	0.0049167327517843
mpasivos_margen	0.00412239410211026	0.00177253617781051	0.00253766851704996
V126i	0.00403238761991341	0.00132070633904373	0.000317208564631245
V153i	0.00389624537717194	0.000640834916348157	0.00111022997620936
canarito44	0.00377566405814876	0.00119245714857318	0.00301348136399683
canarito51	0.00341443926524096	0.00473983488004593	0.00824742268041237
Visa_fechaalta	0.00340244622513103	0.00189544785726514	0.00555114988104679
ctarjeta_visa_transacciones	0.00330129370629712	0.00614819911484767	0.00507533703409992
mv_msaldopesos	0.00327127752304225	0.00410933543424757	0.00507533703409992
V5	0.00300639413731446	0.00488266691311353	0.00444091990483743
V87	0.00294155770021588	0.000962145931053917	0.00222045995241872
mvr_msaldopesos	0.00289842047859113	0.00211659118476935	0.00301348136399683
chomebanking_transacciones	0.00283913549491263	0.00148774184003282	0.00269627279936558
Visa_msaldototal	0.00282045645482092	0.00122857470358377	0.00301348136399683
V143	0.00246105727804229	0.00240023581314294	0.000475812846946868
V15	0.00244384847195308	0.00198143778083067	0.00396510705789056
V105c	0.00243774276872051	0.0173650380852261	0.00967486122125297
V106b	0.00242272817779095	0.000149176284442539	0.00063441712926249
V102b	0.0024199422092949	0.000994063770365598	0.00190325138778747
canarito101	0.00234430576837581	0.000986164730625529	0.00253766851704996
canarito62	0.00232904894599072	0.00636026986503353	0.00650277557494052
mrentabilidad	0.00224065153161092	0.000521968069460271	0.0014274385408406
V163i	0.00211163098139169	0.000936792753728326	0.00206185567010309
mv_status06	0.00210812506998638	0.000253948766304026	0.000475812846946868
canarito77	0.002102754403854	0.00114690363658803	0.00301348136399683
Visa_mconsumototal	0.00202814089630678	0.000250064773912982	0.000475812846946868
V89b	0.00199743123198585	0.00071740675406976	0.00222045995241872
Visa_Fvencimiento	0.00199569825634051	0.00128019248589727	0.00269627279936558
mvr_msaldopesos2	0.00193847098304283	0.00147947346359299	0.00317208564631245
canarito21	0.00190019342160825	0.000712063286010301	0.00269627279936558
canarito29	0.00189168869563877	0.00223245568171078	0.00555114988104679
V181	0.00189010040391707	0.00526035538792488	0.000951625693893735
ccuenta_debitos_automaticos	0.00184792593244276	0.00301540182885764	0.00206185567010309
ctarjeta_master	0.00183562935061785	4.27000881273108e-05	0.000158604282315623
canarito69	0.00183336848842864	0.0108484315694095	0.00967486122125297
canarito34	0.00179642077585746	0.000693173500930544	0.00206185567010309
mv_fechaalta	0.00179168691657988	0.00476340094430816	0.00650277557494052
V45b	0.00179043421654847	0.02332285008839	0.0145915939730373
V162	0.00178852379942996	0.00160086013990021	0.00063441712926249
V102	0.00173612805323197	0.00118062646009371	0.00222045995241872
cliente_edad	0.00170923177120949	0.0063145852980904	0.00729579698651864
canarito18	0.00168602039547798	0.00533511628440894	0.00967486122125297
V138i	0.00167011765915589	0.00194084648611813	0.000951625693893735
canarito13	0.00166573844896173	0.00449653135055601	0.00935765265662173
canarito24	0.00162649911955956	0.00125824078043561	0.00285487708168121
V82	0.00154562175274639	0.00125107445705152	0.00190325138778747
canarito70	0.00153909329315886	0.000973803865270595	0.00253766851704996
V69	0.00152423516017293	0.0064642381460165	0.00364789849325932
canarito8	0.00152381321317272	0.00907541287107184	0.00856463124504362
V13	0.00151658826903855	0.000673813109410767	0.00158604282315623
Master_mlimitecompra	0.00150718759276695	0.00152777912969572	0.00253766851704996
canarito91	0.00147425729103572	0.0158913489109148	0.0098334655035686
canarito37	0.00144943034114785	0.00181500394123958	0.00253766851704996
V52b	0.00144789582907147	0.00148015256655706	0.00269627279936558
V52	0.00143882322311454	0.000510804569857791	0.00174464710547185
ccaja_seguridad	0.00139330036815627	0.00210447455819974	0.00126883425852498
canarito6	0.00136299220634734	0.00165340722100666	0.00253766851704996
numero_de_cliente	0.00133741451664821	0.0161183956685717	0.00856463124504362
V28	0.00133105004833618	0.000110044465398411	0.000158604282315623
ccaja_ahorro	0.00132211316751684	0.00689457497167456	0.00396510705789056
V146i	0.00129591748499253	0.00118349179803864	0.000158604282315623
canarito30	0.00127606583050538	0.00087037171820663	0.00253766851704996
mtransferencias_emitidas	0.00126747435332882	0.00346035128233047	0.00539254559873117
canarito49	0.00125470488174663	0.000889916778076288	0.00269627279936558
V131	0.00124626537614031	0.00389228459565846	0.00063441712926249
canarito42	0.00124250150352909	0.0025293428178839	0.00285487708168121
V100c	0.0012302548141246	0.000832187069086086	0.00126883425852498
canarito64	0.00122877957441864	0.000785793613961156	0.00269627279936558
canarito100	0.00122595258282925	0.00274223564007891	0.00412371134020619
canarito105	0.00121658205492681	0.00975732755970319	0.0098334655035686
canarito53	0.00120407740838329	0.00108717236096686	0.00269627279936558
canarito16	0.001200629862565	0.00267328286105078	0.00412371134020619
V83b	0.00119828221477904	0.00218889182226951	0.00253766851704996
canarito93	0.00119260453299458	0.00183020035932172	0.00190325138778747
Visa_cconsumos	0.00118217079805583	0.00105664846984461	0.00190325138778747
V105d	0.00117186360823308	0.00194539766738616	0.00412371134020619
V45	0.00116535312136	0.0205811505822301	0.0122125297383029
canarito96	0.00115939759167386	0.000848735736052837	0.00269627279936558
canarito5	0.00115491733411321	0.0162833998177121	0.0101506740681998
V97	0.00115354385450875	0.000700131327790574	0.00190325138778747
canarito85	0.00115135211997454	0.00359455155930202	0.00650277557494052
canarito27	0.00114598344666587	0.00184779746595231	0.00253766851704996
