fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia
20211017 211000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	95	TRUE	0.0489197231282846	0.430474927828514	4920	819	0.0249949950627853	58.3197381447202	49.7158444935589	5816250
20211017 211031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	97	TRUE	0.0795753842437573	0.854373417768095	4656	467	0.0250046962344701	45.324247019432	93.7210480250152	5991250
20211017 211152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	95	TRUE	0.075438975439673	0.465690283723442	4204	741	0.025003342819985	36.5171265796692	147.745117212513	6396250
20211017 211243	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	112	TRUE	0.0662930504605174	0.425429638109303	2390	403	0.0250007230533658	68.7881412450224	42.3253618164121	5658750
20211017 211332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	295	TRUE	0.0574069140842351	0.867520152990307	3464	301	0.024998061747589	39.4131470338574	119.221455785113	6230000
20211017 211459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	232	TRUE	0.0590146561157391	0.534621346894918	5218	702	0.0249964460652333	19.1883449700461	56.7613349528983	6336250
20211017 211654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	306	TRUE	0.02976373691328	0.276263867458329	7047	526	0.0249915508717473	46.7102640424855	129.264704956274	6143750
20211017 211721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	112	TRUE	0.0700522693718085	0.647561808495915	3018	618	0.0250082912301029	52.4430471222981	67.8077165503055	5958750
20211017 211918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	489	TRUE	0.016676333203047	0.779933136688279	6087	357	0.0250063585724139	75.1512107697116	102.474032049733	4535000
20211017 212215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	406	TRUE	0.0255578567575763	0.544038300209546	3224	883	0.0249937205231366	64.5036968934749	63.3746883665611	6256250
20211017 212321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	104	TRUE	0.0470944821657447	0.322929004652958	2774	796	0.0249951894810984	14.6267845278739	155.916445958428	6188750
20211017 212340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	70	TRUE	0.095477385916664	0.695378424832597	2069	431	0.0249973496340112	56.715927053509	74.8665432761689	5548750
