fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia
20211017 220843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	787	TRUE	0.0205895501599298	0.422447758051567	4533	600	58	164	0.0433042942274063	7450000
20211017 221109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	386	TRUE	0.0459110126993619	0.595040851878002	2036	269	29	123	0.0467263952807948	8046250
20211017 221225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	139	TRUE	0.0664806744229281	0.544724259176292	2802	607	53	135	0.043096885210312	7545000
20211017 221408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	242	TRUE	0.0643219152663369	0.383291248728832	3824	765	38	62	0.0482368322357738	7985000
20211017 221447	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	131	TRUE	0.0523489602009067	0.780067065016677	4038	709	70	101	0.0402084956380023	7310000
20211017 221829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	1037	TRUE	0.0129191540408647	0.684055204705025	1369	186	45	57	0.0488198926643341	7702500
20211017 222133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	263	TRUE	0.0285142172969063	0.940752736409195	2351	173	3	81	0.0468343683599433	8407500
20211017 222324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	364	TRUE	0.0577140800797497	0.748139140964486	5862	494	16	74	0.0504571695008912	8140000
20211017 222445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	178	TRUE	0.0709880650968989	0.723811643105	4820	94	6	147	0.0471320347936834	8343750
20211017 222649	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	221	TRUE	0.0509600670644431	0.51877343407056	7023	458	67	129	0.0469733372366434	7187500
20211017 222756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	87	TRUE	0.0390958749546553	0.627289665909484	5470	17	74	33	0.0407137936052781	6823750
20211017 222847	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	84	TRUE	0.0808464410027955	0.811419579875656	1252	330	19	49	0.0508293260231816	8453750
20211017 223052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	293	TRUE	0.0145583437202731	0.645590056851506	1999	797	85	20	0.0461214888706365	7420000
20211017 223246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	201	TRUE	0.0605392633014708	0.446413671947084	3551	950	61	180	0.042544880186644	7566250
